Settlement,Longitude,Latitude
Kölked,45.9228171,18.745943336217756
Komló,46.1911673,18.2613778
Kórós,45.8706501,18.069678451740614
Kovácshida,45.8345244,18.182441201179003
Kovácsszénája,46.1721318,18.111229317115622
Kővágószőlős,46.0844483,18.126221346885224
Kővágótőttős,46.086275650000005,18.101251458310614
Kozármisleny,46.03577405,18.29218883866291
Lánycsók,46.0105507,18.604778284630022
Lapáncsa,45.81438665,18.490191226719496
Liget,46.23517545,18.190487804220723
Lippó,45.858526749999996,18.560479606874985
Liptód,46.0496186,18.509770745639926
Lothárd,46.00824145,18.354094841381404
Lovászhetény,46.1556476,18.479078566482208
Lúzsok,45.82810665,17.95692853817267
Mágocs,46.3650519,18.224745068461168
Magyarbóly,45.84750255,18.499623923002652
Magyaregregy,46.243385950000004,18.29645598023062
Magyarhertelend,46.18636965,18.15902200405128
Magyarlukafa,46.1866359,17.74137293234767
Magyarmecske,45.9417691,17.953983776477415
Magyarsarlós,46.041681249999996,18.350035448921297
Magyarszék,46.19406240000001,18.199183439860796
Magyartelek,45.943301649999995,17.982415868402526
Majs,45.90320345,18.60192244433526
Mánfa,46.1574494,18.24456375999576
Maráza,46.0817179,18.508296893726442
Márfa,45.86611775,18.18976803219244
Máriakéménd,46.0374604,18.465023550354772
Markóc,45.852734,17.75891842046829
Marócsa,45.9191012,17.83223865138762
Márok,45.86834385,18.52157440153446
Martonfa,46.1156493,18.372706686536485
Matty,45.790254000000004,18.270251255819986
Máza,46.26012945,18.398975920506363
Mecseknádasd,46.23762765,18.480399794456677
Mecsekpölöske,46.2217663,18.21165830647663
Mekényes,46.3889217,18.318632348154935
Merenye,46.0821391,17.696632935602015
Meződ,46.28554215,18.090082327016688
Mindszentgodisa,46.2287715,18.062603937271838
Mohács,45.9933836,18.6821079
Molvány,46.0286604,17.74716864124397
Monyoród,46.00124735,18.481531048171462
Mozsgó,46.1124005,17.85444964146538
Nagybudmér,45.93696415,18.442002589338543
Nagycsány,45.8664534,17.94564931450503
Nagydobsza,46.037764949999996,17.677907911864732
Nagyhajmás,46.378640149999995,18.28209087893879
Nagyharsány,45.84777855,18.40582155709494
Nagykozár,46.06298875,18.323800831419156
Nagynyárád,45.9555244,18.59753687902618
Nagypall,46.1371611,18.459338087779813
Nagypeterd,46.0517897,17.89466871219613
Nagytótfalu,45.862542899999994,18.341522464206562
Nagyváty,46.077657450000004,17.93034691897695
Nemeske,46.034234299999994,17.708325933731565
Nyugotszenterzsébet,46.0835765,17.91083074687282
Óbánya,46.21797515,18.406554193414436
Ócsárd,45.9404775,18.154977718684847
Ófalu,46.213432100000006,18.543244141974817
Okorág,45.935688850000005,17.880200999211212
Okorvölgy,46.153874599999995,18.04921910973397
Olasz,46.0144844,18.411998989978258
Old,45.776316449999996,18.352464870367324
Orfű,46.14731395,18.161756964656696
Oroszló,46.22454595,18.128235139887252
Ózdfalu,45.931224099999994,18.030003139509972
Palé,46.2591503,18.063849173270892
Palkonya,45.902168450000005,18.386185843779348
Palotabozsok,46.11963925,18.649710112395354
Páprád,45.88800645,18.0219079541217
Patapoklosi,46.0747015,17.742382101518967
Pécs,46.0765883,18.2280397
Pécsbagota,45.98885305,18.07942449119201
Pécsdevecser,45.95438215,18.373482672757007
Pécsudvard,46.001230199999995,18.277766671596574
Pécsvárad,46.1607518,18.410375275685798
Pellérd,46.0219558,18.15255389465893
Pereked,46.0882532,18.37632272687774
Peterd,45.97468295,18.360892008702294
Pettend,46.0020219,17.700728754805272
Piskó,45.8154864,17.932437969789785
Pócsa,45.9088885,18.475910820756006
Pogány,45.992227,18.25098838917656
Rádfalva,45.8610547,18.128277561503772
Regenye,45.97067135,18.1688854610426
Romonya,46.079154900000006,18.351958710931367
Rózsafa,46.00773185,17.892344605595955
Sámod,45.84603345,18.042382153080354
Sárok,45.8412548,18.6126762
Sásd,46.2537699,18.094015939588807
Sátorhely,45.93058895,18.657671012179136
Sellye,45.86930585,17.85258889208717
Siklós,45.84975635,18.29771653598796
Siklósbodony,45.912627349999994,18.119631970915574
Siklósnagyfalu,45.81943495,18.365901115955772
Somberek,46.07161605,18.66543497850979
Somogyapáti,46.0948251,17.749517957051815
Somogyhárságy,46.179760900000005,17.78054289797823
Somogyhatvan,46.12820985,17.696305167677682
Somogyviszló,46.1219044,17.75859456299731
Sósvertike,45.83209015,17.862637105849494
Sumony,45.95119475,17.908665068284517
Szabadszentkirály,46.0107388,18.042226888025404
Szágy,46.2213214,17.939250521930006
Szajk,45.988065,18.541196071648812
Szalánta,45.95512775,18.246380024476508
Szalatnak,46.29038105,18.274564221863113
Szaporca,45.79479125,18.104320998522923
Szárász,46.34470305,18.373096571340803
Szászvár,46.262617250000005,18.369320151536154
Szava,45.9014701,18.18168178368935
Szebény,46.12645185,18.590976742335016
Szederkény,45.99454915,18.455319973226175
Székelyszabar,46.045423549999995,18.608014475492823
Szellő,46.07769845,18.470795483767482
Szemely,46.0212118,18.32807093168072
Szentdénes,46.0012501,17.927714821555995
Szentegát,45.965896900000004,17.833713700191023
Szentkatalin,46.16957360000001,18.046043334293106
Szentlászló,46.1573091,17.8356144
Szentlőrinc,46.0467923,18.008382365305543
Szigetvár,46.0519365,17.807977339731544
Szilágy,46.1060952,18.409942567578945
Szilvás,45.964233750000005,18.197359688705408
Szőke,45.95420745,18.181446143701947
Szőkéd,45.96384535,18.285018551368154
Szörény,45.9763645,17.673529698510496
Szulimán,46.1288269,17.80417574977085
Szűr,46.1158422,18.56618414058772
Tarrós,46.27949395,18.148377017088993
Tékes,46.2752067,18.178228933366128
Teklafalu,45.93786605,17.72269521972672
Tengeri,45.922764650000005,18.078560473575898
Tésenfa,45.8049004,18.12974752140189
Téseny,45.949933900000005,18.052411336684514
Tófű,46.3091072,18.363761159078358
Tormás,46.21229825,17.971423315560088
Tótszentgyörgy,46.0548298,17.72269848210484
Töttös,45.90841025,18.537166148634938
Túrony,45.9101571,18.231634507392425
Udvar,45.90743595,18.649256103892583
Újpetre,45.928071349999996,18.36723491844187
Vajszló,45.85860305,17.98023388340662
Várad,45.983618,17.770216608914865
Varga,46.243343499999995,18.15702148349105
Vásárosbéc,46.1805653,17.7253954
Vásárosdombó,46.3063419,18.140031622170063
Vázsnok,46.265957,18.12697653899481
Vejti,45.81107845,17.968045750762208
Vékény,46.25669295,18.3416802291579
Velény,45.9784379,18.048929896011238
Véménd,46.1619596,18.615640461484098
Versend,45.999195349999994,18.50663571819743
Villány,45.8697644,18.4555208
Villánykövesd,45.88367315,18.417350339180583
Vokány,45.919957350000004,18.33082676211616
Zádor,45.970734199999995,17.64954515744391
Zaláta,45.8104679,17.88732804610103
Zengővárkony,46.17984725,18.44533546164462
Zók,45.998468450000004,18.098230614938984
Almáskamarás,46.45784105,21.07924537595109
Battonya,46.3145559,21.021435385702684
Békés,46.7862993,20.9820736
Békéscsaba,46.6798003,21.0985425
Békéssámson,46.411230849999995,20.607041534953105
Békésszentandrás,46.84872445,20.465216837077577
Bélmegyer,46.871499400000005,21.17819894922076
Biharugra,46.96565794999999,21.621181807921992
Bucsa,47.198505,20.997721729204358
Csabacsüd,46.79454855,20.632760481732277
Csabaszabadi,46.59006695,20.939511265038224
Csanádapáca,46.5342108,20.87144846132121
Csárdaszállás,46.8862577,20.93259896173922
Csorvás,46.651608949999996,20.796663315053955
Dévaványa,47.03869105,20.940207199546258
Doboz,46.738578649999994,21.25710277809364
Dombegyház,46.3417392,21.13399904681558
Dombiratos,46.4141104,21.115911362766987
Ecsegfalva,47.14097035,20.928382421294955
Elek,46.5157603,21.23669748867437
Füzesgyarmat,47.11754995,21.22062537770127
Gádoros,46.675869750000004,20.59920740055411
Gerendás,46.60588775,20.854539992249244
Geszt,46.8943353,21.549108894596394
Gyomaendrőd,46.9476472,20.847423475636333
Gyula,46.6438656,21.2747575
Hunya,46.810547549999995,20.842423013117006
Kamut,46.75804325,20.954019734663923
Kardos,46.791482,20.737979382655844
Kardoskút,46.493307200000004,20.68447711413181
Kaszaper,46.45673415,20.825610193467554
Kertészsziget,47.15590555,21.059357743324195
Kétegyháza,46.522509799999995,21.173572514106596
Kétsoprony,46.7154863,20.886367775789726
Kevermes,46.40641575,21.176548784528663
Kisdombegyház,46.37311355,21.118097306891478
Kondoros,46.7503031,20.814013918589495
Körösladány,46.952103949999994,21.069364640454985
Körösnagyharsány,47.0017424,21.65441318317636
Köröstarcsa,46.890475699999996,21.01802658541751
Körösújfalu,46.9560574,21.38993560472145
Kötegyán,46.72598995,21.486162484263552
